iter	Logloss
0	0.6183750078
1	0.5666771464
2	0.5319727579
3	0.5000588319
4	0.4773011601
5	0.4587378211
6	0.4462658537
7	0.428265695
8	0.419979499
9	0.4039318308
10	0.3863973276
11	0.3778502944
12	0.3692250255
13	0.3631734437
14	0.3538366328
15	0.3483939756
16	0.3396342716
17	0.3340648291
18	0.3263466737
19	0.3209445025
20	0.3172299442
21	0.3151908686
22	0.3116308847
23	0.3041949183
24	0.2997125005
25	0.2958283717
26	0.2898915703
27	0.287132017
28	0.2826360534
29	0.2785751766
30	0.2771613822
31	0.2760733786
32	0.2747375698
33	0.273861453
34	0.2727677098
35	0.2722499854
36	0.270334002
37	0.2691908179
38	0.2675810806
39	0.2658933249
40	0.2641402917
41	0.2631559912
42	0.2626020052
43	0.2620489902
44	0.2605225923
45	0.259942708
46	0.2580017459
47	0.2568416391
48	0.2535735935
49	0.2528172342
50	0.2521787949
51	0.2519245744
52	0.2513477017
53	0.250895077
54	0.2500115724
55	0.2491325437
56	0.2480703159
57	0.2474359319
58	0.2468360604
59	0.246579278
60	0.2458846941
61	0.2456368509
62	0.2452209293
63	0.2444707084
64	0.2437709338
65	0.2435813433
66	0.2427376559
67	0.242503836
68	0.2418858472
69	0.2410988721
70	0.240854357
71	0.2407406549
72	0.2406098288
73	0.2394312526
74	0.2393295354
75	0.2389576503
76	0.2387758021
77	0.2386504851
78	0.2385342106
79	0.2381662853
80	0.2380561562
81	0.2371490909
82	0.2369598801
83	0.2365822979
84	0.2359673716
85	0.2352350378
86	0.2348504896
87	0.2347389482
88	0.2341424713
89	0.2340626745
90	0.233604054
91	0.2331321005
92	0.2330101561
93	0.2329037766
94	0.232832592
95	0.2325974903
96	0.2323712507
97	0.2322457851
98	0.2321362886
99	0.2317769526
100	0.231284195
101	0.2312278597
102	0.2310831168
103	0.2309899925
104	0.2308611673
105	0.2307331515
106	0.2304550748
107	0.2304105247
108	0.2302978091
109	0.230194846
110	0.2294048248
111	0.2290564618
112	0.2289809708
113	0.2287092894
114	0.2286406517
115	0.2277704602
116	0.2275237557
117	0.2269727355
118	0.2267153643
119	0.226448005
120	0.2263653337
121	0.2260959734
122	0.2259952741
123	0.2257500345
124	0.2251915911
125	0.225109006
126	0.2248064745
127	0.2246664246
128	0.2246164195
129	0.224569007
130	0.2242013427
131	0.224088443
132	0.2240198053
133	0.2239018507
134	0.2237481287
135	0.2234406843
136	0.2233661195
137	0.2233112718
138	0.2232444109
139	0.2231676333
140	0.2231034929
141	0.2230575159
142	0.222973932
143	0.2229042718
144	0.2228471585
145	0.2228098495
146	0.2226742116
147	0.2225931155
148	0.2225325778
149	0.2224766615
150	0.2224033154
151	0.2216253816
152	0.2211714174
153	0.2209594831
154	0.2205875555
155	0.2205374994
156	0.2205007097
157	0.2202719374
158	0.220039635
159	0.2199065585
160	0.2197872721
161	0.2197477901
162	0.2195666855
163	0.2195186433
164	0.2193782843
165	0.2192265577
166	0.2191091696
167	0.2190275797
168	0.2187721829
169	0.2186102681
170	0.2185509256
171	0.2185175933
172	0.2184725316
173	0.2184136935
174	0.2183863859
175	0.2181835361
176	0.2181233719
177	0.218099393
178	0.217968523
179	0.217743267
180	0.2176956332
181	0.2176384525
182	0.2175698155
183	0.2175245435
184	0.2174539502
185	0.2173932259
186	0.217368771
187	0.2173339523
188	0.2172955128
189	0.2172256392
190	0.2171831808
191	0.2171581776
192	0.2171248826
193	0.2170785362
194	0.2168878476
195	0.2168367533
196	0.2166177579
197	0.216555789
198	0.2163763591
199	0.2163388713
200	0.2162907011
201	0.2162655106
202	0.216205975
203	0.2161751247
204	0.2161464012
205	0.2161121677
206	0.2159160695
207	0.2157863778
208	0.2156081442
209	0.2154936178
210	0.2154775284
211	0.2154559895
212	0.2154367666
213	0.2154128635
214	0.2152661558
215	0.2152331532
216	0.2151825528
217	0.2151446433
218	0.2150987058
219	0.2150497924
220	0.2150256469
221	0.2149020229
222	0.2148624703
223	0.2148358284
224	0.2147980748
225	0.2147270029
226	0.2146820814
227	0.2146415296
228	0.214614514
229	0.2144880995
230	0.2144547574
231	0.2142426076
232	0.2141630114
233	0.2140918756
234	0.2140453482
235	0.214027478
236	0.2139818572
237	0.2139441263
238	0.2138279852
239	0.2137879631
240	0.2137549939
241	0.2137255208
242	0.2137063634
243	0.2136678761
244	0.2136417073
245	0.2135218898
246	0.2134024778
247	0.2133703538
248	0.2133461038
249	0.2133123018
250	0.2132766926
251	0.2132119955
252	0.2131605083
253	0.2131199189
254	0.2130910333
255	0.2130063758
256	0.212973899
257	0.2129285748
258	0.2129037535
259	0.2128694758
260	0.2128452295
261	0.2128075307
262	0.2127796094
263	0.2127543785
264	0.2126384051
265	0.2124527558
266	0.2124211138
267	0.2123941182
268	0.2123686066
269	0.2123455981
270	0.2123206343
271	0.2122889782
272	0.212257419
273	0.2120992915
274	0.2120470616
275	0.2120150727
276	0.2119824408
277	0.2119337159
278	0.2119065752
279	0.2118556791
280	0.211821461
281	0.2117866971
282	0.2117552525
283	0.2116224097
284	0.2114847078
285	0.211346564
286	0.2113160008
287	0.2112979801
288	0.2112695382
289	0.2112281137
290	0.2111907539
291	0.2111695038
292	0.2111302567
293	0.2110465792
294	0.2109729635
295	0.2108837842
296	0.2108592944
297	0.2108257456
298	0.2107920146
299	0.2107780973
300	0.2107478421
301	0.2107242668
302	0.2106925125
303	0.2106583498
304	0.2106284343
305	0.2105975975
306	0.2105613987
307	0.2105429686
308	0.2105152595
309	0.2104809276
310	0.2104631524
311	0.2104343247
312	0.2103740662
313	0.2103465472
314	0.2103193881
315	0.2102993357
316	0.2102723218
317	0.2102376964
318	0.210223426
319	0.2101936691
320	0.2101756036
321	0.2101542301
322	0.2101245873
323	0.2100930717
324	0.2100340636
325	0.210009377
326	0.209942243
327	0.2099188441
328	0.2098936106
329	0.2098635315
330	0.209856185
331	0.2097935886
332	0.2097738156
333	0.2097423955
334	0.2097077661
335	0.2096782755
336	0.20965749
337	0.2096403715
338	0.2096196344
339	0.209588571
340	0.2095521517
341	0.2095316243
342	0.209494428
343	0.2094750414
344	0.2094520505
345	0.2094235568
346	0.2094037923
347	0.2093873454
348	0.2093628646
349	0.2093405182
350	0.2093025991
351	0.2092811496
352	0.209250145
353	0.2092238518
354	0.209190479
355	0.2091591913
356	0.2091439682
357	0.2091181104
358	0.20908317
359	0.2090681669
360	0.2090456305
361	0.2090221259
362	0.2090011062
363	0.2089801529
364	0.2089542285
365	0.2088928097
366	0.2088763942
367	0.2088565824
368	0.2088348197
369	0.2088134172
370	0.2088020706
371	0.2087166775
372	0.208691924
373	0.2086674366
374	0.2086479822
375	0.2086102596
376	0.2085869481
377	0.2085537686
378	0.2085359169
379	0.2085173994
380	0.2084931086
381	0.2084682833
382	0.2084462459
383	0.2083258639
384	0.2083016933
385	0.2082762115
386	0.2082659856
387	0.2082380434
388	0.2082199123
389	0.2081493878
390	0.2081318903
391	0.2081124284
392	0.2080842103
393	0.2080671585
394	0.2080091315
395	0.207977597
396	0.2079128913
397	0.2079057921
398	0.2078871293
399	0.2078641781
400	0.2078465394
401	0.2078088806
402	0.207785362
403	0.2077661365
404	0.2077487691
405	0.2077247889
406	0.2077005526
407	0.2076784909
408	0.207641998
409	0.2076199471
410	0.2075998774
411	0.2075831728
412	0.207565446
413	0.2075376854
414	0.207510231
415	0.2074870634
416	0.2074695813
417	0.2074479095
418	0.2074233082
419	0.2074083695
420	0.207383244
421	0.2073402636
422	0.2073144405
423	0.2072936608
424	0.207279379
425	0.2072122721
426	0.2071930362
427	0.2071791839
428	0.2071699313
429	0.2071530681
430	0.2071243711
431	0.2071047948
432	0.2070754329
433	0.2070663516
434	0.2070515214
435	0.2070339304
436	0.2070137486
437	0.2069958996
438	0.206977037
439	0.2069632873
440	0.206949575
441	0.2069250155
442	0.2069013053
443	0.2068838759
444	0.2068564054
445	0.2068393669
446	0.2068150401
447	0.2067919073
448	0.2067619672
449	0.2067461259
450	0.2067129203
451	0.2066334006
452	0.2066204252
453	0.2065612233
454	0.2065481536
455	0.2064516473
456	0.2064366749
457	0.2064173661
458	0.2063948468
459	0.2063696041
460	0.2063443069
461	0.2063192517
462	0.2062860655
463	0.2062253779
464	0.2061542805
465	0.2061357899
466	0.2061113943
467	0.2060962152
468	0.2060719415
469	0.2060471624
470	0.2060092512
471	0.2059877615
472	0.2059554143
473	0.2059381479
474	0.2059197936
475	0.2058962747
476	0.2058249715
477	0.2058088589
478	0.2057499809
479	0.2057330761
480	0.2057132751
481	0.2056927225
482	0.2056681549
483	0.2056487907
484	0.2056264964
485	0.2056052827
486	0.2055706546
487	0.2055583365
488	0.2055401382
489	0.2055263174
490	0.205475362
491	0.2054620104
492	0.2054372965
493	0.2053960656
494	0.2053797095
495	0.205367625
496	0.2053319007
497	0.2053121456
498	0.2052853157
499	0.2052550165
500	0.205231674
501	0.2052147197
502	0.2052001806
503	0.2051809212
504	0.2051537308
505	0.2051348375
506	0.205109731
507	0.2050885618
508	0.2050673083
509	0.205049492
510	0.2050401483
511	0.2050198497
512	0.2049995295
513	0.2049842891
514	0.2049687063
515	0.2049556581
516	0.2049447231
517	0.2049261529
518	0.2048982543
519	0.2048868225
520	0.2048757023
521	0.2048434279
522	0.204823623
523	0.204808649
524	0.2047887005
525	0.2047628741
526	0.2047489564
527	0.2047218872
528	0.2047070904
529	0.2046858083
530	0.2046646824
531	0.2046355881
532	0.2046184111
533	0.2046001347
534	0.204579223
535	0.2045641189
536	0.2045461221
537	0.2045268753
538	0.2045125191
539	0.2044998187
540	0.2044563706
541	0.2044405735
542	0.2044249152
543	0.2044017251
544	0.2043880348
545	0.2043682301
546	0.2043545687
547	0.2043348024
548	0.2043176823
549	0.2043026231
550	0.204282697
551	0.2042714354
552	0.204252288
553	0.2042270164
554	0.2041954668
555	0.204178612
556	0.2041584484
557	0.2041470862
558	0.2041329489
559	0.2041126073
560	0.2041045238
561	0.2040906577
562	0.2040678197
563	0.2040524929
564	0.2040044436
565	0.2039909946
566	0.2039818788
567	0.2039063252
568	0.2038889964
569	0.203865969
570	0.2038449694
571	0.2038324805
572	0.2038061306
573	0.2037863437
574	0.2037671701
575	0.2037505914
576	0.2037271506
577	0.203707266
578	0.2036939621
579	0.203680276
580	0.2036514547
581	0.2036379447
582	0.20361652
583	0.2036025791
584	0.2035821248
585	0.2035619456
586	0.2035482515
587	0.2035056853
