iter	Passed	Remaining
0	544	544338
1	941	469987
2	1350	448926
3	1699	423137
4	2073	412654
5	2431	402747
6	2807	398264
7	3204	397368
8	3607	397197
9	3976	393685
10	4347	390913
11	4736	389937
12	5132	389662
13	5478	385834
14	5858	384681
15	6210	381929
16	6534	377869
17	6888	375806
18	7231	373376
19	7518	368395
20	7887	367701
21	8229	365859
22	8600	365337
23	8945	363798
24	9279	361898
25	9622	360465
26	9937	358113
27	10269	356485
28	10590	354584
29	10945	353891
30	11309	353503
31	11636	352004
32	11986	351255
33	12331	350372
34	12695	350036
35	13032	348991
36	13369	347979
37	13690	346585
38	14040	345961
39	14387	345306
40	14716	344220
41	15066	343661
42	15437	343565
43	15770	342642
44	16142	342570
45	16521	342635
46	16872	342126
47	17242	341984
48	17583	341258
49	17912	340336
50	18233	339287
51	18584	338815
52	18959	338763
53	19317	338408
54	19679	338132
55	20035	337742
56	20485	338903
57	20847	338592
58	21253	338983
59	21580	338092
60	21934	337644
61	22275	337004
62	22667	337137
63	22998	336353
64	23363	336081
65	23719	335673
66	24077	335291
67	24401	334440
68	24713	333454
69	25084	333270
70	25421	332624
71	25766	332095
72	26130	331821
73	26504	331667
74	26888	331624
75	27247	331273
76	27589	330717
77	27926	330101
78	28322	330190
79	28635	329306
80	28987	328880
81	29345	328525
82	29685	327965
83	30041	327597
84	30422	327488
85	30766	326986
86	31098	326356
87	31451	325949
88	31812	325633
89	32115	324726
90	32466	324304
91	32804	323764
92	33092	322737
93	33459	322491
94	33810	322094
95	34167	321742
96	34546	321601
97	34858	320840
98	35161	320008
99	35490	319418
100	35843	319041
101	36194	318649
102	36563	318417
103	36867	317625
104	37227	317318
105	37558	316770
106	37924	316506
107	38226	315722
108	38524	314915
109	38883	314606
110	39228	314183
111	39581	313821
112	39911	313289
113	40273	313000
114	40595	312409
115	40940	311993
116	41272	311484
117	41609	311011
118	41917	310327
119	42236	309735
120	42539	309026
121	42866	308501
122	43177	307855
123	43471	307103
124	43775	306425
125	44072	305708
126	44402	305220
127	44733	304749
128	45104	304541
129	45444	304127
130	45792	303771
131	46115	303247
132	46460	302864
133	46897	303080
134	47342	303339
135	47750	303353
136	48073	302828
137	48449	302633
138	48794	302243
139	49141	301866
140	49492	301516
141	49870	301330
142	50224	300996
143	50595	300762
144	50994	300689
145	51370	300479
146	51694	299970
147	52044	299608
148	52389	299220
149	52745	298893
150	53105	298585
151	53436	298118
152	53783	297743
153	54083	297106
154	54435	296759
155	54738	296149
156	55089	295801
157	55447	295486
158	55815	295227
159	56147	294774
160	56478	294318
161	56859	294127
162	57212	293782
163	57528	293253
164	57886	292942
165	58235	292583
166	58575	292174
167	58947	291930
168	59344	291806
169	59717	291561
170	60048	291113
171	60369	290618
172	60704	290190
173	61035	289742
174	61381	289371
175	61724	288983
176	62116	288825
177	62443	288362
178	62768	287895
179	63139	287637
180	63423	286980
181	63787	286692
182	64160	286442
183	64511	286092
184	64855	285714
185	65204	285358
186	65557	285017
187	65891	284597
188	66234	284214
189	66539	283669
190	66886	283304
191	67221	282890
192	67567	282521
193	67896	282083
194	68267	281823
195	68583	281332
196	68910	280888
197	69263	280551
198	69612	280198
199	69969	279876
200	70323	279543
201	70681	279226
202	71087	279096
203	71412	278647
204	71779	278365
205	72150	278096
206	72525	277837
207	72878	277498
208	73242	277200
209	73617	276942
210	73962	276569
211	74306	276196
212	74632	275755
213	74953	275296
214	75299	274932
215	75637	274535
216	75964	274103
217	76267	273582
218	76616	273229
219	76965	272877
220	77347	272642
221	77656	272146
222	77970	271674
223	78337	271382
224	78655	270923
225	78982	270499
226	79343	270186
227	79695	269845
228	80017	269402
229	80408	269194
230	80724	268733
231	81053	268314
232	81399	267955
233	81730	267544
234	82045	267085
235	82413	266797
236	82744	266389
237	83071	265969
238	83446	265701
239	83716	265103
240	84078	264795
241	84473	264592
242	84871	264393
243	85214	264023
244	85587	263748
245	85966	263491
246	86327	263176
247	86676	262824
248	87034	262502
249	87427	262283
250	87785	261957
251	88089	261471
252	88469	261213
253	88835	260911
254	89139	260425
255	89495	260097
256	89807	259637
257	90153	259279
258	90511	258954
259	90890	258688
260	91249	258364
261	91576	257951
262	91931	257617
263	92294	257306
264	92633	256927
265	92966	256530
266	93310	256166
267	93658	255814
268	93988	255412
269	94328	255036
270	94668	254662
271	95011	254295
272	95371	253974
273	95721	253626
274	96030	253172
275	96386	252841
276	96705	252411
277	97050	252052
278	97386	251668
279	97724	251291
280	98075	250948
281	98425	250600
282	98766	250230
283	99100	249845
284	99425	249435
285	99763	249059
286	100115	248718
287	100458	248355
288	100831	248067
289	101201	247769
290	101558	247439
291	101936	247161
292	102299	246845
293	102652	246506
294	103020	246200
295	103386	245892
296	103754	245586
297	104076	245172
298	104417	244805
299	104818	244577
300	105184	244265
301	105552	243959
302	105923	243658
303	106302	243376
304	106667	243061
305	107032	242746
306	107404	242446
307	107781	242158
308	108155	241861
309	108517	241539
310	108885	241227
311	109238	240884
312	109598	240557
313	109979	240273
314	110324	239911
315	110661	239533
316	111016	239193
317	111378	238867
318	111724	238509
319	112076	238162
320	112410	237777
321	112763	237433
322	113124	237105
323	113433	236668
324	113768	236289
325	114131	235964
326	114475	235601
327	114783	235166
328	115120	234790
329	115487	234474
330	115816	234081
331	116186	233773
332	116518	233386
333	116861	233023
334	117191	232632
335	117527	232257
336	117871	231896
337	118224	231551
338	118612	231277
339	118980	230961
340	119338	230627
341	119721	230341
342	120083	230014
343	120447	229690
344	120792	229330
345	121160	229013
346	121512	228666
347	121838	228272
348	122200	227943
349	122560	227612
350	122913	227267
351	123291	226968
352	123600	226543
353	123967	226223
354	124301	225843
355	124676	225537
356	125027	225190
357	125347	224785
358	125667	224382
359	126021	224038
360	126461	223846
361	126892	223638
362	127255	223311
363	127593	222938
364	127934	222570
365	128267	222189
366	128612	221830
367	128958	221472
368	129309	221123
369	129690	220825
370	130034	220462
371	130378	220101
372	130716	219730
373	131078	219398
374	131449	219082
375	131820	218766
376	132196	218457
377	132526	218072
378	132897	217755
379	133243	217397
380	133588	217037
381	133941	216690
382	134317	216380
383	134694	216072
384	135056	215740
385	135404	215383
386	135761	215043
387	136108	214687
388	136475	214360
389	136833	214021
390	137245	213766
391	137621	213453
392	137975	213106
393	138315	212738
394	138647	212358
395	138989	211994
396	139334	211633
397	139662	211248
398	140034	210928
399	140399	210598
400	140748	210245
401	141112	209913
402	141472	209575
403	141806	209199
404	142173	208872
405	142550	208558
406	142967	208304
407	143355	208005
408	143745	207710
409	144097	207359
410	144406	206946
411	144737	206566
412	145030	206132
413	145397	205804
414	145704	205390
415	146044	205023
416	146399	204678
417	146751	204328
418	147171	204073
419	147534	203738
420	147880	203379
421	148227	203022
422	148558	202643
423	148897	202275
424	149220	201886
425	149541	201495
426	149875	201121
427	150187	200718
428	150475	200283
429	150812	199914
430	151130	199520
431	151466	199150
432	151802	198780
433	152127	198397
434	152466	198030
435	152774	197626
436	153109	197255
437	153431	196868
438	153757	196486
439	154102	196130
440	154404	195718
441	154762	195378
442	155096	195008
443	155421	194626
444	155758	194260
445	156094	193892
446	156423	193517
447	156726	193110
448	157063	192744
449	157412	192393
450	157679	191941
451	158017	191578
452	158341	191198
453	158717	190880
454	159076	190542
455	159421	190186
456	159754	189817
457	160104	189468
458	160445	189109
459	160815	188783
460	161164	188433
461	161535	188107
462	161916	187795
463	162260	187438
464	162598	187075
465	162930	186705
466	163257	186329
467	163590	185961
468	163917	185586
469	164273	185244
470	164647	184922
471	165020	184599
472	165371	184250
473	165712	183892
474	166037	183514
475	166360	183136
476	166747	182827
477	167075	182454
478	167411	182090
479	167770	181751
480	168112	181394
481	168460	181042
482	168852	180738
483	169291	180484
484	169641	180134
485	169979	179772
486	170347	179441
487	170690	179084
488	171019	178713
489	171383	178378
490	171715	178010
491	172051	177646
492	172396	177292
493	172732	176928
494	173098	176595
495	173436	176233
496	173716	175813
497	174074	175472
498	174452	175151
499	174763	174763
500	175132	174433
501	175502	174103
502	175882	173784
503	176268	173470
504	176646	173148
505	176990	172792
506	177350	172453
507	177736	172138
508	178106	171808
509	178465	171466
510	178817	171119
511	179184	170785
512	179535	170436
513	179907	170107
514	180253	169753
515	180594	169394
516	180928	169029
517	181291	168692
518	181647	168347
519	181947	167951
520	182255	167563
521	182591	167200
522	182924	166835
523	183249	166462
524	183616	166129
525	183957	165771
526	184327	165440
527	184680	165093
528	185017	164732
529	185342	164360
530	185704	164021
531	186029	163649
532	186393	163312
533	186726	162948
534	187072	162596
535	187399	162226
536	187751	161878
537	188092	161521
538	188447	161176
539	188763	160798
540	189077	160418
541	189370	160021
542	189718	159671
543	190054	159310
544	190361	158925
545	190748	158607
546	191057	158225
547	191416	157883
548	191768	157536
549	192130	157197
550	192486	156853
551	192835	156504
552	193180	156151
553	193564	155829
554	193911	155478
555	194263	155131
556	194647	154809
557	194996	154459
558	195346	154110
559	195703	153766
560	196041	153408
561	196372	153044
562	196687	152668
563	197036	152318
564	197378	151964
565	197724	151611
566	198048	151243
567	198421	150911
568	198787	150575
569	199170	150251
570	199532	149911
571	199921	149591
572	200291	149257
573	200644	148910
574	201004	148568
575	201368	148229
576	201698	147865
577	202041	147511
578	202383	147156
579	202732	146806
580	203062	146442
581	203385	146073
582	203708	145705
583	204047	145348
584	204382	144989
585	204737	144643
586	205087	144295
587	205442	143949
588	205810	143613
589	206161	143265
590	206507	142912
591	206869	142572
592	207209	142216
593	207572	141876
594	207960	141553
595	208311	141204
596	208663	140856
597	209012	140506
598	209366	140160
599	209735	139823
600	210152	139518
601	210473	139150
602	210858	138823
603	211252	138503
604	211603	138154
605	211964	137811
606	212313	137461
607	212615	137080
608	212942	136717
609	213327	136389
610	213677	136040
611	214019	135685
612	214389	135348
613	214789	135030
614	215133	134677
615	215486	134328
616	215844	133984
617	216204	133640
618	216684	133371
619	217014	133008
620	217355	132653
621	217674	132284
622	218022	131933
623	218372	131583
624	218714	131228
625	219036	130862
626	219338	130483
627	219612	130088
628	219933	129722
629	220256	129357
630	2630	224319	13631	2631	224692	13632	2632	225076	13633	2633	225409	13634	2634	225747	12635	2635	226100	12636	2636	226444	12637	2637	226811	12638	2638	227175	12639	2639	227547	12640	2640	227903	12641	2641	641	22815642	2642	642	22850643	2643	643	22889644	2644	644	22926645	2645	645	22962646	2646	646	22994647	2647	647	23029648	2648	648	23063649	2649	649	23101650	2650	650	23139651	2651	651	23175652	2652	652	23207653	2653	653	23240654	2654	654	23277655	2655	233254	12656	2656	233619	121965
657	233977	12658	2658	234308	121243
659	659	234581	120660	660	234921	120661	661	235280	120662	662	235653	119663	663	236002	119664	236448	119113
665	236816	118763
666	237127	118385
667	237484	118031
668	237831	117671
669	238185	117315
670	238550	116964
671	671	238812	116672	239283	116264
673	239637	115907
674	239970	115541
675	240338	115191
676	240697	114838
677	241055	114483
678	241449	114146
679	241814	113795
680	242172	113440
681	242536	113088
682	242927	112749
683	243287	112395
684	243613	112026
685	243994	111682
686	244313	111310
687	687	244540	110688	688	244884	110535
689	245249	110184
690	245587	109821
691	245944	109466
692	246262	109094
693	246606	108734
694	246981	108387
695	247333	108030
696	247683	107673
697	248051	107323
698	248421	106974
699	248740	106603
700	249057	106231
701	249422	105880
702	249768	105520
703	250132	105169
704	250489	104814
705	250856	104464
706	251181	104096
707	251523	103735
708	251851	103369
709	252205	103013
710	252562	102659
711	252914	102302
712	253236	101933
713	253581	101574
714	253935	101219
715	254247	100846
716	254572	100479
717	254905	100116
718	255288	99771
719	255646	99418
720	256003	99063
721	256350	98705
722	256687	98343
723	257038	97987
724	257408	97637
725	257784	97290
726	258143	96936
727	258504	96584
728	258853	96226
729	259200	95868
730	259550	95511
731	259871	95144
732	260217	94785
733	260594	94438
734	260943	94081
735	261291	93724
736	261647	93369
737	261987	93009
738	262342	92653
739	262713	92304
740	263081	91954
741	263431	91597
742	263750	91230
743	264078	90865
744	264418	90505
745	264754	90144
746	265061	89773
747	265433	89424
748	265784	89068
749	266140	88713
750	266473	88351
751	266835	87998
752	267222	87654
753	267622	87314
754	268114	87003
755	268489	86655
756	268881	86311
757	269283	85971
758	269660	85623
759	269993	85261
760	270358	84909
761	270721	84556
762	271058	84195
763	271466	83856
764	271804	83495
765	272140	83134
766	272448	82764
767	272790	82405
768	273128	82044
769	273534	81705
770	273930	81361
771	274334	81021
772	274709	80671
773	275069	80317
774	275432	79964
775	275793	79610
776	276126	79248
777	276475	78891
778	276847	78540
779	277239	78195
780	277609	77844
781	277970	77490
782	278340	77139
783	278706	76786
784	279050	76427
785	279396	76069
786	279754	75715
787	280134	75366
788	280482	75008
789	280846	74655
790	281202	74300
791	281562	73945
792	281893	73583
793	282245	73227
794	282643	72882
795	283067	72544
796	283426	72190
797	283735	71822
798	284063	71460
799	284414	71103
800	284774	70749
801	285166	70402
802	285526	70048
803	285906	69698
804	286270	69345
805	286669	68999
806	287006	68639
807	287449	68304
808	287818	67952
809	288173	67596
810	288558	67247
811	288920	66892
812	289272	66536
813	289644	66184
814	290023	65833
815	290401	65482
816	290756	65126
817	291124	64773
818	291461	64413
819	291806	64055
820	292135	63693
821	292477	63334
822	292834	62979
823	293209	62627
824	293570	62272
825	293908	61912
826	294314	61567
827	294687	61215
828	295028	60856
829	295375	60498
830	295731	60142
831	296094	59788
832	296441	59430
833	296753	59065
834	297069	58702
835	297526	58366
836	297866	58007
837	298201	57647
838	298565	57293
839	299039	56959
840	299553	56633
841	300005	56295
842	300409	55948
843	300826	55602
844	301213	55252
845	301569	54895
846	301926	54539
847	302285	54183
848	302627	53824
849	303012	53472
850	303415	53124
851	303732	52761
852	304049	52397
853	304401	52040
854	304664	51668
855	304964	51302
856	305303	50943
857	305606	50578
858	305942	50218
859	306290	49861
860	306671	49509
861	307022	49152
862	307383	48796
863	307765	48444
864	308132	48090
865	308471	47731
866	308834	47375
867	309172	47017
868	309542	46662
869	309814	46294
870	310142	45933
871	310398	45563
872	310730	45203
873	311005	44836
874	311336	44476
875	311666	44117
876	311990	43757
877	312326	43398
878	312635	43036
879	312942	42674
880	313261	42313
881	313548	41948
882	313878	41589
883	314204	41230
884	314541	40872
885	314806	40505
886	315105	40143
887	315397	39779
888	315732	39422
889	316035	39060
890	316398	38706
891	316700	38344
892	317066	37991
893	317471	37641
894	317815	37285
895	318133	36926
896	318464	36568
897	318890	36221
898	319279	35870
899	319650	35516
900	320046	35166
901	320448	34815
902	320815	34461
903	321175	34107
904	321544	33753
905	321884	33396
906	322234	33040
907	322583	32684
908	322927	32328
909	323328	31977
910	323729	31626
911	324181	31280
912	324686	30939
913	325104	30589
914	325490	30236
915	325896	29885
916	326372	29540
917	326814	29192
918	327241	28842
919	327626	28489
920	327967	28131
921	328336	27776
922	328716	27422
923	329014	27061
924	329359	26704
925	329743	26351
926	330145	25998
927	330546	25645
928	330904	25289
929	331256	24933
930	331614	24577
931	332003	24223
932	332399	23870
933	332787	23516
934	333162	23161
935	333531	22805
936	333894	22449
937	334291	22095
938	334663	21740
939	335041	21385
940	335382	21028
941	335751	20672
942	336091	20315
943	336435	19958
944	336846	19604
945	337240	19250
946	337622	18895
947	337948	18537
948	338342	18182
949	338662	17824
950	339006	17467
951	339332	17109
952	339653	16751
953	339956	16392
954	340340	16037
955	340627	15677
956	340979	15320
957	341297	14962
958	341657	14606
959	341979	14249
960	342236	13888
961	342482	13528
962	342838	13172
963	343116	12813
964	343404	12455
965	343635	12094
966	343924	11736
967	344207	11378
968	344454	11019
969	344743	10662
970	344950	10302
971	345202	9944
972	345488	9587
973	345762	9229
974	346040	8872
975	346297	8515
976	346541	8158
977	346853	7802
978	346995	7443
979	347190	7085
980	347357	6727
981	347588	6371
982	347785	6014
983	347975	5658
984	348146	5301
985	348318	4945
986	348474	4589
987	348620	4234
988	348770	3879
989	348922	3524
990	349066	3170
991	349196	2816
992	349323	2462
993	349450	2109
994	349520	1756
995	349565	1403
996	349617	1052
997	349666	700
998	349718	350
999	349769	0
999	358412	0
